year,month,mean_rad,min_rad,max_rad,date
2014,1,0.6974598270595077,-0.041947025805711746,48.71617126464844,2014-01-01
2014,2,0.8521053299136462,0.01288539543747902,107.24039459228516,2014-02-01
2014,3,0.7135636506147195,-0.11643417179584503,109.9044418334961,2014-03-01
2014,4,0.8055500925972641,-0.048235341906547546,90.78120422363281,2014-04-01
2014,5,0.8715434219383937,-0.11043405532836914,89.77972412109375,2014-05-01
2014,6,0.978141662116851,-0.013227718882262707,115.30500793457031,2014-06-01
2014,7,0.8998884020262609,-0.06894411146640778,106.30570983886719,2014-07-01
2014,8,0.9878630841589426,0.07358645647764206,81.78433227539062,2014-08-01
2014,9,0.7407340915819289,0.022963598370552063,82.07173919677734,2014-09-01
2014,10,0.8492966593315324,-0.0021110745146870613,69.31566619873047,2014-10-01
2014,11,0.66071785324721,-0.1350962519645691,83.68035888671875,2014-11-01
2014,12,1.2706438078168119,0.3193611204624176,92.97245025634766,2014-12-01
2015,1,1.2866913945969287,0.21508151292800903,139.0732421875,2015-01-01
2015,2,0.8851030438504308,0.1701485812664032,110.06023406982422,2015-02-01
2015,3,0.8700391040341826,0.025665178894996643,79.8499755859375,2015-03-01
2015,4,0.8043600207146157,-0.12551036477088928,86.00948333740234,2015-04-01
2015,5,0.8413541597269055,-0.13921388983726501,470.8204650878906,2015-05-01
2015,6,0.7084235759758327,-0.23032061755657196,68.95964813232422,2015-06-01
2015,7,0.7021461419788865,-0.22582994401454926,81.91382598876953,2015-07-01
2015,8,0.8159624539134634,-0.07705231755971909,81.16808319091797,2015-08-01
2015,9,0.7460285783158194,-0.061574582010507584,71.16059875488281,2015-09-01
2015,10,0.5970488124267994,-0.2293033003807068,62.921268463134766,2015-10-01
2015,11,0.8952046397660429,0.08000902831554413,86.59307861328125,2015-11-01
2015,12,0.773839644442968,-0.08868061751127243,102.98385620117188,2015-12-01
2016,1,0.9362094455467832,-0.09666197001934052,71.43508911132812,2016-01-01
2016,2,0.6699356847152995,-0.10387711971998215,77.68952178955078,2016-02-01
2016,3,0.7348099042979739,-0.2811877429485321,83.995361328125,2016-03-01
2016,4,0.7798792127255013,-0.12170544266700745,78.75627136230469,2016-04-01
2016,5,0.8661208049651437,-0.08817857503890991,69.15095520019531,2016-05-01
